area,type,cmCu,cmAl
10,Solid,1.83,3.08
16,Solid,1.15,1.91
25,Solid,0.727,1.20
35,Solid,0.524,0.868
50,Solid,0.387,0.641
70,Solid,0.268,0.443
95,Solid,0.193,0.320
120,Solid,0.153,0.253
150,Solid,0.124,0.206
185,Solid,0.101,0.164
240,Solid,0.0775,0.125
300,Solid,0.0620,0.100
400,Solid,0.0465,0.0778
500,Solid,,0.0605
630,Solid,,0.0469
800,Solid,,0.0367
1000,Solid,,0.0291
1200,Solid,,0.0247
1600,Solid,,0.0186
2000,Solid,,0.0149
10,Stranded,1.83,3.08
16,Stranded,1.15,1.91
25,Stranded,0.727,1.20
35,Stranded,0.524,0.868
50,Stranded,0.387,0.641
70,Stranded,0.268,0.443
95,Stranded,0.193,0.320
120,Stranded,0.153,0.253
150,Stranded,0.124,0.206
185,Stranded,0.0991,0.164
240,Stranded,0.0754,0.125
300,Stranded,0.0601,0.100
400,Stranded,0.0470,0.0778
500,Stranded,0.0366,0.0605
630,Stranded,0.0283,0.0469
700,Stranded,0.02463,
800,Stranded,0.0221,0.0367
1000,Stranded,0.0176,0.0291
1200,Stranded,0.0151,0.0247
1600,Stranded,0.0113,0.0186
2000,Stranded,0.0090,0.0149
2500,Stranded,0.0072,0.0119
3000,Stranded,0.0060,0.0099
3200,Stranded,0.0056,0.0093
3500,Stranded,0.0051,0.0085
