material;thermal resistivity;volumetric specific heat;resistivity at twenty degrees;temperature coefficient;relative permittivity;dissipation factor
cmAl;0.004219409;2.50E+06;0.000000028261;4.03E-3;;
cmCu;0.002493766;3.45E+06;0.000000017241;3.93E-3;;
samLead;29.0E-03;1.45E+06;21.4E-08;4.00E-3;;
samCopper;0.002624672;3.45E+06;0.000000017241;3.93E-3;;
samSteel;13.3E-03;3.8E+06;13.8E-08;4.50E-3;;
samAluminium;0.004219409;2.50E+06;0.0000000284;4.03E-3;;
samStainlessSteel;0.067;3.95E+06;70.0E-08;0;;
samNone;;;;;;
pcPE;3.5;2.40E+06;0;0;2.3;0.001
pcPVC;5;1.7E+06;0;0;8.0;0.1
pcPVC-35kV;6;1.7E+06;0;0;8.0;0.1
pcBitumenJute;6.0;2.0E+06;0;0;;
imXLPEUnfilled;3.5;2.40E+06;0;0;2.5;0.001
imXLPEFilled;3.5;2.40E+06;0;0;3.0;0.005
imPaperMassImpregnated;6.0;2.0E+06;0;0;4.0;0.01
imRubber;5.0;2.0E+06;0;0;4.0;0.05
imPaperOFSelfContained;5.0;2.0E+06;0;0;3.6;0.0035
imPaperOilPressure;5.0;2.0E+06;0;0;3.6;0.0035
imBitumenJute;6.0;2.0E+06;0;0;3.6;0.0035
imPPL;5.5;1.7E+06;0;0;2.8;0.0014
imPE;3.5;2.40E+06;0;0;2.3;0.001
imPVC;5;1.7E+06;0;0;8.0;0.1
imNone;;;;;;
scrXLPE;3.5;2.40E+06;0;0;;
scrMetalizedPaper;6.0;2.0E+06;0;0;;
scrCuTape;0.002624672;3.45E+06;1.72E-08;3.93E-3;;
scrMetalTape;13.3E-03;3.8E+06;13.8E-08;4.50E-3;;
scrSemiconductingXLPE;2.5;2.0E+06;0;0;;
scrNone;;;;;;
odOil;7.9;2.0E+06;0;0;2.2;0.0010
